Request Rate,Payload Size,Unique IPs,Label
1127,3481,18,1
1460,5939,24,1
861,2980,32,1
1295,4987,9,1
1131,645,47,1
1096,2027,24,1
1725,4252,26,1
1045,104,3,1
1639,5633,23,1
122,9654,11,0
467,5478,10,0
1239,6333,36,1
331,2763,13,0
1483,9565,29,1
88,3426,38,1
1397,3759,13,1
1124,1231,26,1
872,4863,20,0
1688,6837,5,1
131,5192,20,0
1686,6122,14,1
1333,3259,45,1
770,6259,14,0
344,7418,8,0
1516,8545,48,1
1438,5407,13,1
806,8620,24,0
386,3144,15,0
1216,9712,1,1
956,5736,22,0
277,2992,34,1
1185,5388,40,1
460,5912,3,0
1338,754,26,1
22,5581,14,0
253,859,41,1
748,6882,8,0
857,1898,49,1
1585,5259,16,1
475,8546,42,1
1083,5362,21,1
511,3923,10,0
1706,1976,25,1
1500,6254,38,1
700,7887,22,0
976,4616,49,1
1807,3834,48,1
190,9536,47,1
958,6072,46,1
687,6739,4,0
958,5456,4,0
563,6480,30,0
1900,1108,2,1
1591,4414,29,1
1268,9802,43,1
832,2608,36,1
1529,4858,21,1
1155,2782,21,1
1509,7411,48,1
1843,1089,21,1
647,8546,4,0
21,4811,1,0
841,6579,26,0
167,7064,2,0
1298,8175,9,1
388,4552,45,1
601,8547,18,0
316,1107,48,1
14,6596,48,1
242,7788,42,1
777,4008,41,1
1370,2903,11,1
565,4479,25,0
898,198,26,0
1364,8488,36,1
92,977,42,1
1391,1968,35,1
956,2765,38,1
1479,1488,3,1
1452,2515,41,1
509,8861,35,1
776,2737,40,1
1967,7342,22,1
35,9357,8,0
206,8713,15,0
1105,2983,45,1
1956,1304,7,1
1586,644,19,1
1896,1323,40,1
1412,3272,42,1
1026,9059,17,1
1022,6550,1,1
1414,6620,45,1
566,754,29,0
1130,6921,13,1
1796,2546,48,1
1846,5992,29,1
1501,8512,41,1
703,3766,42,1
402,4377,6,0
730,4502,5,0
1580,2669,34,1
162,5615,11,0
202,9305,9,0
1982,4085,38,1
996,8267,40,1
270,7548,41,1
1887,4410,9,1
816,3119,8,0
